portuguese,pronunciation_ru,russian,category,type,examples,notes
Ola!,,"привет, можно говорить кому угодно",Базовые слова,Done,,
BOM DIA,,с 7 утра до 12 дня (если еще не пообедали),Базовые слова,New,,
BOA TARDE,,с 12 до 19 (уже пообедали),Базовые слова,Done,,
BOA NOITE,,с 19 до 00,Базовые слова,Done,,
"BOM, BOA",,good,Базовые слова,New,,
DIA,,день,Базовые слова,Done,,
TARDE,,afternoon,Базовые слова,New,,
Adeus!,адэуш,до свидания! (более официальный),Базовые слова,,,
Tchau! ,,пока,Базовые слова,,,
Até à próxima! / Até quarta,атэ а проксима ,до следующего (раза)! до новых встреч / до среды,Базовые слова,,,
Beijinhos! ,бэйжиньюш,Поцелуйчики! ,Базовые слова,,,
Abraços! ,абрасуш,обнимания (мужчины мужчинам говорят),Базовые слова,,,
manhã,манья,утро,Базовые слова,,,
eu,эу,я,Базовые слова,Done,личные местоимения,местоимения
tu,ту,ты,Базовые слова,New,,местоимения
ti,ти,ты (после предлога),Базовые слова,,"Eu olho para ti. - Я смотрю на тебя.
Isto é para ti. — Это для тебя.",
ele,эл,он,Базовые слова,New,,местоимения
ela,эла,она,Базовые слова,New,,местоимения
você,восэ,Вы (в ед.ч. уважительно),Базовые слова,New,,местоимения
isto,ишту,"это (средний род, указательное местоимение)",Базовые слова,,"Isto é difícil. — Это трудно.
O que é isto? — Что это?
Isto não é verdade. — Это неправда.",
isso,ису,это (рядом с тобой / уже упомянутое),Базовые слова,,,
aquilo,,то (далеко от обоих),Базовые слова,,,
nós,нош,мы,Базовые слова,New,,местоимения
eles ,элеш,"они (группа мужчин или смешанная группа)
Местоимение 3-го лица множественного числа
Используется, когда говорим о ком-то (не участвует в разговоре)",Базовые слова,,Eles são meus amigos. — Они мои друзья.,местоимения
elas,элаш,"они (только женщины)
Местоимение 3-го лица множественного числа
Используется, когда говорим о ком-то (не участвует в разговоре)",Базовые слова,,Elas estudam medicina. — Они (девушки) учатся на врачей.,местоимения
